dataset,repeat,fold,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
pidd,0,1,1,0.6075520833333333,0.6416341559543964,19.03213889260751,0,0,0,,20
pidd,0,1,2,0.6075520833333333,0.6378997334020294,18.847982843815405,0,0,0,,20
pidd,0,1,3,0.61015625,0.6355890712904871,18.73271158290973,0,0,0,,20
pidd,0,1,4,0.6111979166666667,0.6325303405581637,18.547694693226855,0,0,0,,20
pidd,0,1,5,0.6127604166666667,0.6293415683588782,18.297903825620363,0,0,0,,20
pidd,0,1,6,0.62734375,0.626445590131081,18.103363094905134,0,0,0,,20
pidd,0,1,7,0.6263020833333333,0.6245738929859556,17.93367533034597,0,0,0,,20
pidd,0,1,8,0.6299479166666666,0.621438836024164,17.604287237763284,0,0,0,,20
pidd,0,1,9,0.6424479166666667,0.6181677555219983,17.299335995156717,0,0,0,,20
pidd,0,1,10,0.64453125,0.616217650696638,17.072746417950235,0,0,0,,20
pidd,0,1,11,0.65703125,0.6135097087868414,16.722425459437492,0,0,0,,20
pidd,0,1,12,0.6591145833333334,0.6101312880926693,16.3447737334104,0,0,0,,20
pidd,0,1,13,0.66171875,0.6088279065083357,16.123782697929265,0,0,0,,20
pidd,0,1,14,0.6643229166666667,0.6061243625970039,15.761721551786989,0,0,0,,20
pidd,0,1,15,0.67265625,0.6032521049672943,15.27425211075876,0,0,0,,20
pidd,0,2,1,0.7869791666666667,0.5162821770882347,19.252011715723366,0,0,0,,20
pidd,0,2,2,0.7895833333333333,0.5152633367422181,19.278267755483377,0,0,0,,20
pidd,0,2,3,0.7895833333333333,0.5140857912392075,19.291983865191742,0,0,0,,20
pidd,0,2,4,0.7921875,0.5130709109832622,19.29939767886063,0,0,0,,20
pidd,0,2,5,0.7927083333333332,0.5120176710070187,19.306783355604974,0,0,0,,20
pidd,0,2,6,0.7932291666666668,0.5109883244510682,19.30057379584208,0,0,0,,20
pidd,0,2,7,0.7932291666666668,0.5102929315173074,19.312491198768967,0,0,0,,20
pidd,0,2,8,0.7953125,0.5094723331242734,19.29902881209614,0,0,0,,20
pidd,0,2,9,0.7994791666666666,0.5082396915749313,19.25711436542385,0,0,0,,20
pidd,0,2,10,0.8015625,0.5072419121203204,19.22042642363387,0,0,0,,20
pidd,0,2,11,0.803125,0.5063751352011213,19.18198599088628,0,0,0,,20
pidd,0,2,12,0.8015625,0.5054699402841056,19.126051788782963,0,0,0,,20
pidd,0,2,13,0.8036458333333334,0.5043433166448189,19.070432263236025,0,0,0,,20
pidd,0,2,14,0.8041666666666667,0.5034873343474744,19.008157421331955,0,0,0,,20
pidd,0,2,15,0.8052083333333334,0.5026227311448379,18.93079173127272,0,0,0,,20
pidd,0,3,1,0.6864583333333333,0.6052434962471069,18.894942227392573,0,0,0,,20
pidd,0,3,2,0.6875,0.604758213958676,18.86635649427799,0,0,0,,20
pidd,0,3,3,0.6869791666666667,0.6052350829427825,18.781709050737522,0,0,0,,20
pidd,0,3,4,0.6885416666666666,0.6055037879189549,18.689216998845147,0,0,0,,20
