repeat,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
0,1,0.705089563576662,0.4422442365446008,19.18750378108724,0,0,0,,20
0,2,0.7056041559459922,0.4412566964677735,19.260333151912587,0,0,0,,20
0,3,0.7072827072459507,0.44049494265256667,19.273371801499348,0,0,0,,20
0,4,0.7078585606116299,0.43809431446368496,19.291437386171893,0,0,0,,20
0,5,0.7094635987159694,0.43664317306811307,19.293630837550612,0,0,0,,20
0,6,0.7122816045480163,0.4347734965653888,19.307851924886563,0,0,0,,20
0,7,0.7134088068808351,0.4344871194909982,19.315934494585974,0,0,0,,20
0,8,0.7120978215589698,0.434036651061771,19.340256896045712,0,0,0,,20
0,9,0.7126859271239188,0.4341063675778506,19.353997474896666,0,0,0,,20
0,10,0.7148055575975888,0.43323388151997855,19.361529973160586,0,0,0,,20
0,11,0.7149280795902865,0.43297235294401076,19.389890113939966,0,0,0,,20
0,12,0.7168761792741798,0.4311555161072535,19.39431999510816,0,0,0,,20
0,13,0.7172192408537331,0.43046304033256566,19.35753220237537,0,0,0,,20
0,14,0.7194736455193709,0.42937612240285394,19.355596699186748,0,0,0,,20
0,15,0.7203803082653336,0.42916244116546864,19.34386774190577,0,0,0,,20
1,1,0.7534980028915189,0.4018992895945733,19.649072212809276,0,0,0,,20
1,2,0.7528241319316817,0.40180681226168413,19.64269021092682,0,0,0,,20
1,3,0.7530324193192678,0.40140067691622283,19.649084492245954,0,0,0,,20
1,4,0.7529589061236492,0.40126940947544504,19.666849626651064,0,0,0,,20
2,1,0.7486338797814207,0.420246296012225,19.464179965127553,0,0,0,,20
2,2,0.7497855865127789,0.41998301915491726,19.441108853377056,0,0,0,,20
2,3,0.7498713519076674,0.4194114605465404,19.458120223397174,0,0,0,,20
2,4,0.7503369354799185,0.41919185022291,19.439235834619577,0,0,0,,20
2,5,0.7502879266828395,0.4180139033128152,19.493198028026914,0,0,0,,20
3,1,0.7521992697689235,0.4868191254395203,18.916107924059517,0,0,0,,20
3,2,0.7527506187360631,0.48623924359233095,18.9161210995678,0,0,0,,20
3,3,0.7529589061236491,0.4861898012802041,18.916098506276168,0,0,0,,20
3,4,0.7534612462937098,0.48452806583561703,18.952578356910198,0,0,0,,20
3,5,0.7542821436447842,0.48404737264125236,18.96630842968373,0,0,0,,20
3,6,0.7547844838148448,0.48319503108996087,19.002265552070117,0,0,0,,20
3,7,0.7575779852483522,0.48262853005116313,18.99554215519291,0,0,0,,20
3,8,0.7581538386140312,0.4818986447117338,19.004943039131444,0,0,0,,20
3,9,0.7596976157220221,0.48127652010697525,19.00867112580685,0,0,0,,20
3,10,0.7616947242029944,0.4804377582459831,19.0082455514798,0,0,0,,20
3,11,0.7622093165723249,0.4797781855032774,19.006824731572205,0,0,0,,20
3,12,0.7631772403146364,0.48013183071324067,18.96793326118359,0,0,0,,20
3,13,0.7625891347496876,0.48091249097564054,18.966217354918133,0,0,0,,20
3,14,0.762515621554069,0.48018567324793193,19.00065296393078,0,0,0,,20
3,15,0.7627239089416551,0.4800516575819927,18.990472063517505,0,0,0,,20
4,1,0.6784532823641843,0.474995917667632,18.97396409383792,0,0,0,,20
4,2,0.6779019333970447,0.4747333206947047,18.970357912596064,0,0,0,,20
4,3,0.6784655345634543,0.47390164883832336,19.006975614479053,0,0,0,,20
4,4,0.6782082383787891,0.4733214822768602,19.05723647590394,0,0,0,,20
5,1,0.7005378715479429,0.46003193912849866,19.048409053459988,0,0,0,,20
5,2,0.7010769683158128,0.4599955471990713,19.072924380130264,0,0,0,,20
5,3,0.7010279595187335,0.4593180157375658,19.112206855464603,0,0,0,,20
5,4,0.7013097601019382,0.4598823087581321,19.12132617612712,0,0,0,,20
6,1,0.7534489940944399,0.4858925613704948,18.853014205322967,0,0,0,,20
6,2,0.7527628709353329,0.48575260174958373,18.891277193823107,0,0,0,,20
6,3,0.7538165600725331,0.4859300724824548,18.85243485812653,0,0,0,,20
6,4,0.756365017520645,0.48623977040460903,18.70590342344339,0,0,0,,20
6,5,0.7554461025754123,0.48439744834322496,18.80297638874591,0,0,0,,20
6,6,0.7552868239849052,0.4848215307190768,18.792396880454884,0,0,0,,20
6,7,0.7565488005096915,0.4852298676684706,18.714269448589285,0,0,0,,20
7,1,0.7176664461270799,0.431846285415707,19.12931186951993,0,0,0,,20
7,2,0.7193695018255777,0.43146214087750023,19.15237663177716,0,0,0,,20
7,3,0.7188916660540566,0.43025308624517056,19.273601661327437,0,0,0,,20
7,4,0.7182545516920287,0.42994660522677436,19.267512448744995,0,0,0,,20
7,5,0.7191979710358009,0.4296641095331248,19.24866086775282,0,0,0,,20
8,1,0.721262466612757,0.44956166451351837,19.05125643572619,0,0,0,,20
8,2,0.7213482320076454,0.44999494383073146,19.060666225807502,0,0,0,,20
8,3,0.7220894900634665,0.4500397725345037,19.043925837680383,0,0,0,,20
8,4,0.7209255311328384,0.4496226436224628,19.031154331177135,0,0,0,,20
9,1,0.7715148619177142,0.4426934897207039,19.274613521310602,0,0,0,,20
9,2,0.7717476537038398,0.44162418207754306,19.293872446989162,0,0,0,,20
9,3,0.7725562988556446,0.4404847556059365,19.304812084404876,0,0,0,,20
9,4,0.7728748560366586,0.44000866877582023,19.338518965829806,0,0,0,,20
9,5,0.7734384572030679,0.4384986107152915,19.378440655345354,0,0,0,,20
9,6,0.7749577299125193,0.43658126663179175,19.37283840033977,0,0,0,,20
9,7,0.7754110612855006,0.4356509683887974,19.386393692085957,0,0,0,,20
9,8,0.7761339410424171,0.43356315374865956,19.42829124062036,0,0,0,,20
