dataset,repeat,fold,rank,rule_text,predicted_class,posterior_weight,support_n,support_percent,positive_rate,posterior_inclusion_probability,condition_count,source,llm_confidence
nhanes_ckd,0,1,1,IF systolic_bp >= 122 THEN high risk,1,0.0717031380403652,688,65.5862726406101,0.4113372093023256,0.05,1,quantile,
nhanes_ckd,0,1,2,IF uric_acid >= 4.3 THEN high risk,1,0.0685064974629606,852,81.22020972354623,0.3908450704225352,0.05,1,quantile,
nhanes_ckd,0,1,3,IF hdl <= 60 THEN high risk,1,0.0680038603584434,854,81.41086749285034,0.373536299765808,0.05,1,quantile,
nhanes_ckd,0,1,4,IF age >= 70 AND uric_acid >= 5.5 THEN high risk,1,0.0513684085309871,143,13.63203050524309,0.5664335664335665,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,5,IF diabetes_duration >= 12 AND uric_acid >= 7 THEN high risk,1,0.0510725950816102,95,9.05624404194471,0.8,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,6,IF diabetes_duration >= 12 AND systolic_bp >= 127.667 THEN high risk,1,0.0508253535828535,231,22.02097235462345,0.5670995670995671,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,7,IF hba1c >= 7.6 AND uric_acid >= 4.3 THEN high risk,1,0.0507733664506542,265,25.26215443279314,0.4943396226415094,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,8,IF diabetes_duration >= 10 AND uric_acid >= 7 THEN high risk,1,0.0489635343328962,125,11.916110581506196,0.68,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,9,IF diabetes_duration >= 10 AND hba1c >= 7 THEN high risk,1,0.0484193799265441,327,31.17254528122021,0.4801223241590214,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,10,IF age >= 61 AND diabetes_duration >= 3 THEN high risk,1,0.0469236479445178,509,48.52240228789323,0.4459724950884086,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,11,IF age >= 50 AND uric_acid >= 4.9 THEN high risk,1,0.0462824111039749,581,55.38608198284079,0.4561101549053356,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,12,IF age >= 61 AND hba1c >= 7.6 THEN high risk,1,0.0462511831036181,158,15.061963775023832,0.5316455696202531,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,13,IF systolic_bp >= 122 AND uric_acid >= 7 THEN high risk,1,0.0458037919753897,134,12.774070543374645,0.5746268656716418,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,14,IF diastolic_bp >= 80.667 AND hba1c >= 7.6 THEN high risk,1,0.045527270069361,87,8.293612964728313,0.4827586206896552,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,15,IF systolic_bp >= 127.667 AND triglycerides >= 239 THEN high risk,1,0.0453684550190519,110,10.486177311725452,0.4363636363636363,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,16,IF age >= 65 AND systolic_bp >= 144 THEN high risk,1,0.0444852661382125,100,9.532888465204955,0.53,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,17,IF diabetes_duration >= 3 AND diastolic_bp <= 62.667 THEN high risk,1,0.0436882722872808,191,18.20781696854147,0.4450261780104712,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,18,IF age >= 61 AND hba1c >= 7 THEN high risk,1,0.0435776875967667,272,25.92945662535748,0.5073529411764706,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,19,IF diabetes_duration >= 7 AND systolic_bp >= 144 THEN high risk,1,0.0424197921532851,149,14.204003813155383,0.5570469798657718,0.05,2,quantile_conjunction,
nhanes_ckd,0,1,20,IF diastolic_bp >= 80.667 AND uric_acid >= 4.3 THEN high risk,1,0.040036088841226,180,17.15919923736892,0.4388888888888889,0.05,2,quantile_conjunction,
nhanes_ckd,0,2,1,IF diastolic_bp <= 63.533 THEN high risk,1,0.0775894408584109,210,20.019065776930407,0.4238095238095238,0.05,1,quantile,
